time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:31:15.199000,93705,1875,167000000,,0.551010020085,-0.260473070842,0.0274896182334,0.000405460425553,0.999999017359,0.00119899821464,0.000602732340223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.199000,93706,1875,187000000,,0.551010017637,-0.260473065989,0.0274896198343,0.000405457373683,0.999999017351,0.00119901016879,0.000602724119629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.231000,93707,1875,207000000,,0.551010026277,-0.260473016461,0.0274896778765,0.000405442440329,0.999999017351,0.0011990119965,0.000602730731159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.231000,93708,1875,227000000,,0.551010027134,-0.260473027968,0.0274896808933,0.000405415722666,0.999999017403,0.00119898437103,0.000602717554655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.264000,93709,1875,247000000,,0.551010033317,-0.260473031185,0.0274896735742,0.000405416304592,0.999999017391,0.00119898597858,0.000602733029934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.267000,93710,1875,267000000,,0.551010014613,-0.260473064393,0.0274896180116,0.000405489650532,0.99999901736,0.00119900131917,0.000602705468053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.295000,93711,1875,287000000,,0.551010021036,-0.26047305582,0.0274896792066,0.000405444070403,0.999999017386,0.00119898165576,0.000602731172224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.327000,93712,1875,307000000,,0.551010019855,-0.260473054585,0.0274896816842,0.000405430742646,0.999999017394,0.00119898446005,0.000602721465994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.327000,93713,1875,327000000,,0.551010029983,-0.260473032203,0.0274896184773,0.000405457009074,0.999999017321,0.00119903060226,0.000602733970869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.363000,93714,1875,347000000,,0.551010016518,-0.260473051624,0.0274896236016,0.00040545302065,0.999999017355,0.0011990115185,0.000602717828526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.367000,93715,1875,367000000,,0.551010027918,-0.260473051035,0.0274896759497,0.000405436149512,0.999999017416,0.00119896290578,0.00060272399755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.400000,93716,1875,387000000,,0.551010026756,-0.260473041693,0.0274896754242,0.000405448624199,0.999999017386,0.00119898427165,0.000602722487699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.428000,93717,1875,407000000,,0.5510100244,-0.260473031225,0.0274896156323,0.000405448466149,0.999999017324,0.00119903429231,0.000602726925741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.428000,93718,1875,427000000,,0.551010027457,-0.260473041971,0.0274896168214,0.00040542134687,0.999999017355,0.00119901701343,0.000602727408645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.464000,93719,1875,447000000,,0.551010030722,-0.260473043137,0.0274896115035,0.000405436712533,0.99999901734,0.00119902064689,0.00060273447147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.467000,93720,1875,467000000,,0.551010015559,-0.260473058391,0.0274896212805,0.000405481434147,0.999999017357,0.0011990050517,0.000602707702414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.504000,93721,1875,487000000,,0.551010020085,-0.260473070842,0.0274896182334,0.000405460425553,0.999999017359,0.00119899821464,0.000602732340231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.533000,93722,1875,507000000,,0.551010017637,-0.260473065989,0.0274896198343,0.000405457373684,0.999999017351,0.00119901016879,0.000602724119633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.533000,93723,1875,527000000,,0.551010026277,-0.260473016461,0.0274896778765,0.000405442440329,0.999999017351,0.0011990119965,0.000602730731157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.564000,93724,1875,547000000,,0.551010027134,-0.260473027968,0.0274896808933,0.000405415722665,0.999999017403,0.00119898437103,0.00060271755465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.567000,93725,1875,567000000,,0.551010033317,-0.260473031185,0.0274896735742,0.000405416304592,0.999999017391,0.00119898597858,0.000602733029929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.599000,93726,1875,587000000,,0.551010014613,-0.260473064393,0.0274896180116,0.000405489650534,0.99999901736,0.00119900131917,0.000602705468052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.629000,93727,1875,607000000,,0.551010021036,-0.26047305582,0.0274896792066,0.000405444070402,0.999999017386,0.00119898165576,0.000602731172228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.629000,93728,1875,627000000,,0.551010019855,-0.260473054585,0.0274896816842,0.000405430742646,0.999999017394,0.00119898446005,0.000602721465999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.659000,93729,1875,647000000,,0.551010029983,-0.260473032203,0.0274896184773,0.000405457009074,0.999999017321,0.00119903060226,0.000602733970871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.668000,93730,1875,667000000,,0.551010016518,-0.260473051624,0.0274896236016,0.000405453020651,0.999999017355,0.0011990115185,0.000602717828524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:31:15.701000,93731,1875,687000000,,0.551010027918,-0.260473051035,0.0274896759497,0.000405436149512,0.999999017416,0.00119896290578,0.000602723997547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
