time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:33:29.227000,100407,2009,207000000,,0.580423422113,0.109908875121,0.0256675469088,0.000232085845392,0.999999882235,0.000391770016153,-0.000167876850031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.227000,100408,2009,227000000,,0.580423427552,0.109908871838,0.0256675433336,0.000232070642523,0.999999882242,0.00039176488128,-0.000167869264911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.263000,100409,2009,247000000,,0.580423428265,0.109908866982,0.0256675425493,0.00023207500665,0.999999882243,0.000391758794637,-0.000167872505472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.267000,100410,2009,267000000,,0.580423428924,0.109908854162,0.0256675475021,0.000232102859437,0.999999882238,0.000391753928049,-0.00016787428674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.298000,100411,2009,287000000,,0.580423429162,0.10990886569,0.0256675894704,0.000232074535899,0.999999882259,0.000391721273529,-0.000167860669684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.333000,100412,2009,307000000,,0.580423431007,0.109908868352,0.0256675878442,0.000232074886898,0.999999882256,0.000391731689705,-0.000167856712771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.333000,100413,2009,327000000,,0.58042342425,0.109908868958,0.0256675434571,0.000232089859394,0.999999882232,0.000391775726936,-0.000167873414304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.369000,100414,2009,347000000,,0.580423428642,0.109908865831,0.0256675393025,0.000232076506665,0.999999882241,0.000391760181108,-0.000167873384711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.369000,100415,2009,367000000,,0.580423433639,0.109908852134,0.0256675416873,0.000232086191555,0.999999882245,0.000391746247261,-0.000167871248017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.392000,100416,2009,387000000,,0.580423434026,0.109908855952,0.0256675397223,0.000232090869856,0.999999882239,0.0003917597604,-0.000167868974819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.425000,100417,2009,407000000,,0.580423430715,0.109908840666,0.0256675424921,0.000232111955732,0.999999882233,0.000391757935359,-0.000167878670025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.464000,100418,2009,427000000,,0.580423437018,0.109908839907,0.0256675384965,0.000232093221786,0.999999882238,0.000391761354998,-0.000167865770918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.464000,100419,2009,447000000,,0.580423426212,0.109908871556,0.0256675479327,0.000232078086272,0.99999988224,0.000391763931416,-0.000167869135553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.479000,100420,2009,467000000,,0.580423422826,0.109908881637,0.0256675900827,0.000232071961128,0.999999882255,0.000391733061834,-0.000167865266523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.487000,100421,2009,487000000,,0.580423435429,0.109908845963,0.0256675366777,0.000232089727325,0.999999882245,0.000391743033835,-0.000167871801622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.520000,100422,2009,507000000,,0.580423436588,0.109908849687,0.0256675347021,0.000232091980051,0.99999988224,0.000391756796187,-0.000167868110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.549000,100423,2009,527000000,,0.58042342207,0.109908874966,0.025667546925,0.000232086491284,0.999999882235,0.000391770070485,-0.000167877068674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.549000,100424,2009,547000000,,0.580423428292,0.109908872251,0.0256675432591,0.000232070437978,0.999999882242,0.000391765523044,-0.000167868528067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.586000,100425,2009,567000000,,0.580423431294,0.10990885778,0.0256675465145,0.000232082650622,0.999999882243,0.00039175408853,-0.000167868914153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.587000,100426,2009,587000000,,0.58042343043,0.109908860423,0.025667545182,0.000232090099752,0.999999882238,0.000391764013709,-0.00016786907122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.620000,100427,2009,607000000,,0.580423422926,0.109908870029,0.0256675926729,0.000232087300616,0.999999882254,0.000391724444094,-0.000167869936482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.641000,100428,2009,627000000,,0.580423429568,0.109908869902,0.0256675881563,0.000232067753887,0.999999882258,0.000391732051384,-0.000167855152754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.673000,100429,2009,647000000,,0.580423425869,0.109908867404,0.0256675429352,0.000232086670842,0.999999882235,0.000391771920269,-0.00016787077116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.673000,100430,2009,667000000,,0.580423429371,0.109908865805,0.025667538488,0.000232079184877,0.99999988224,0.000391761200319,-0.000167873401524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.705000,100431,2009,687000000,,0.580423433244,0.10990885145,0.0256675417358,0.000232085998246,0.999999882245,0.00039174583098,-0.000167871938157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.707000,100432,2009,707000000,,0.580423433444,0.109908855166,0.0256675399088,0.00023209110258,0.999999882239,0.000391759048851,-0.000167869730847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.732000,100433,2009,727000000,,0.58042343081,0.109908840638,0.025667542468,0.000232112427167,0.999999882233,0.000391758162781,-0.000167878713089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.767000,100434,2009,747000000,,0.580423421163,0.109908889688,0.0256675922694,0.000232056652439,0.999999882253,0.000391750097737,-0.000167856810041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.792000,100435,2009,767000000,,0.580423425163,0.109908886089,0.0256675891749,0.000232055872864,0.999999882259,0.000391734303508,-0.000167859876675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.792000,100436,2009,787000000,,0.580423422953,0.109908887046,0.0256675888822,0.000232065708448,0.999999882254,0.000391739509578,-0.000167863082211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.824000,100437,2009,807000000,,0.580423429353,0.109908850778,0.0256675395991,0.00023210032742,0.99999988224,0.000391747922744,-0.000167879918089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.828000,100438,2009,827000000,,0.580423435648,0.109908850309,0.0256675348454,0.000232082496195,0.999999882243,0.000391755483432,-0.000167866448753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.858000,100439,2009,847000000,,0.580423423966,0.109908873379,0.0256675462292,0.00023208584214,0.999999882237,0.000391766784533,-0.000167874181497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.885000,100440,2009,867000000,,0.580423428691,0.109908872284,0.0256675425983,0.00023207252317,0.999999882241,0.000391766581314,-0.000167869060892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.916000,100441,2009,887000000,,0.580423430835,0.109908856984,0.0256675466143,0.000232082250332,0.999999882243,0.000391753505162,-0.000167869555488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.916000,100442,2009,907000000,,0.5804234299,0.10990885972,0.0256675453565,0.000232090597855,0.999999882238,0.000391763376508,-0.000167869804958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.940000,100443,2009,927000000,,0.580423423166,0.109908870099,0.0256675926101,0.000232087598732,0.999999882253,0.000391724822631,-0.000167869801182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.947000,100444,2009,947000000,,0.580423427779,0.109908873,0.0256675399055,0.000232067942208,0.999999882242,0.000391766961057,-0.000167868614338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:29.981000,100445,2009,967000000,,0.580423431547,0.109908870892,0.0256675377903,0.000232069322538,0.999999882243,0.000391763346879,-0.000167867887191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.005000,100446,2009,987000000,,0.580423428055,0.109908870221,0.025667538606,0.00023208029477,0.999999882239,0.000391764030999,-0.000167874261535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.026000,100447,2010,7000000,,0.580423427789,0.109908856393,0.025667544174,0.000232093847185,0.99999988224,0.000391751638003,-0.000167878046522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.054000,100448,2010,27000000,,0.580423432937,0.109908854964,0.025667539945,0.000232080293037,0.999999882243,0.000391756334825,-0.000167868181722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.054000,100449,2010,47000000,,0.580423432816,0.109908839477,0.0256675416157,0.000232113847848,0.999999882234,0.000391756034023,-0.000167875843351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.079000,100450,2010,67000000,,0.580423421302,0.109908889688,0.025667591774,0.000232058173155,0.999999882252,0.000391750999698,-0.000167857652312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.088000,100451,2010,87000000,,0.580423424645,0.109908885225,0.0256675893086,0.000232055346041,0.999999882259,0.000391733606829,-0.000167860512443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.107000,100452,2010,107000000,,0.580423422496,0.109908886444,0.0256675890346,0.000232066406405,0.999999882254,0.000391738975047,-0.000167863761739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.146000,100453,2010,127000000,,0.580423429725,0.109908850959,0.0256675395121,0.000232100448084,0.999999882239,0.000391748427094,-0.000167879612188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.178000,100454,2010,147000000,,0.580423429289,0.109908859831,0.0256675903175,0.000232079848315,0.999999882255,0.000391730483228,-0.000167858978287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.178000,100455,2010,167000000,,0.58042343199,0.109908861785,0.025667588535,0.000232080450919,0.999999882253,0.000391737156673,-0.000167855916444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.198000,100456,2010,187000000,,0.580423425894,0.109908875741,0.0256675439618,0.000232079957548,0.999999882238,0.000391766649465,-0.000167872943755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:33:30.198000,100457,2010,207000000,,0.580423426285,0.109908861668,0.0256675484877,0.0002320870126,0.999999882239,0.000391759268203,-0.000167873287322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
