time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
1970/01/01/08:27:04.054000,81149,1624,47000000,,0.530837568247,0.169762321472,0.0246744716681,0.000612515414058,0.999999676765,0.000434565271104,-0.000287137379006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.089000,81150,1624,67000000,,0.530837556589,0.16976232907,0.0246745216451,0.000612523156127,0.99999967677,0.000434543741813,-0.000287137576143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.089000,81151,1624,87000000,,0.5308375597,0.169762327316,0.0246745192797,0.000612510393248,0.999999676779,0.000434545288861,-0.000287131157379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.114000,81152,1624,107000000,,0.53083755764,0.169762339643,0.024674478833,0.000612501790109,0.999999676768,0.000434575087192,-0.000287140926189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.127000,81153,1624,127000000,,0.530837561947,0.169762326403,0.0246744842254,0.000612524739044,0.999999676758,0.000434566660007,-0.000287140081824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.160000,81154,1624,147000000,,0.530837560882,0.16976233531,0.0246745173559,0.000612497849011,0.999999676792,0.000434534667926,-0.00028712733821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.196000,81155,1624,167000000,,0.530837560221,0.169762336243,0.0246745163118,0.000612507380557,0.999999676783,0.000434541041665,-0.000287129366337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.196000,81156,1624,187000000,,0.530837554274,0.169762340688,0.0246744781498,0.000612511846757,0.999999676759,0.000434577773327,-0.000287145595674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.224000,81157,1624,207000000,,0.530837559469,0.169762328467,0.0246744858112,0.000612516747944,0.999999676756,0.00043458338335,-0.000287137853922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.227000,81158,1624,227000000,,0.530837565624,0.169762326502,0.0246744777348,0.000612511937004,0.999999676768,0.000434563399233,-0.000287136330223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.252000,81159,1624,247000000,,0.530837564407,0.169762327122,0.0246744768522,0.000612511641486,0.999999676765,0.000434568738023,-0.000287139967414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970/01/01/08:27:04.290000,81160,1624,267000000,,0.530837564435,0.169762315027,0.0246744845009,0.00061253802289,0.999999676752,0.000434561289284,-0.000287141301128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
